,0
424,"Present. Bob Bowen (USA). In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 9th European Congress on Violence in Clinical Psychiatry. 22–24 October 2015; Copenhagen. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2015. p. 249. "
425,"Self-determination and the use of coercion and restraint – People with intellectual disability. Kim Berge & Karl Elling Ellingsen (Norway). In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 9th European Congress on Violence in Clinical Psychiatry. 22–24 October 2015; Copenhagen. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2015. p. 252. "
426,". Christian Zechert, Beate Lisofsky & Caroline Trautmann (Germany) perspectives.p. 257. In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 9th European Congress on Violence in Clinical Psychiatry. 22–24 October 2015; Copenhagen. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2015. German online survey p. 255. "
427,"Christian Zechert, Beate Lisofsky & Caroline Trautmann (Germany) perspectives.. Gender differences in victimization and the relation to personality disorders and. In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 9th European Congress on Violence in Clinical Psychiatry. 22–24 October 2015; Copenhagen. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2015. p. 257. "
428,"MID: Results from a multicenter study in forensic psychiatry. Vivienne de Vogel & Anouk Bohle (Netherlands). In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 9th European Congress on Violence in Clinical Psychiatry. 22–24 October 2015; Copenhagen. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2015. p. 257. "
429,"Aggression in Forensic Psychiatric Units. Ms. Marie Gold (Canada). In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 9th European Congress on Violence in Clinical Psychiatry. 22–24 October 2015; Copenhagen. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2015. p. 260. "
430,"Decision-making capacity. Peter Lepping & Bevinahalli N Raveesh (UK). In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 9th European Congress on Violence in Clinical Psychiatry. 22–24 October 2015; Copenhagen. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2015. p. 261. "
431,"Prevalence of decision-making capacity in psychiatric patients compared to medical patients. Peter Lepping, Thushara Stanly & Jim Turner (UK). In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 9th European Congress on Violence in Clinical Psychiatry. 22–24 October 2015; Copenhagen. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2015. p. 262. "
432,"Coercive Measures in a High Secure Hospital: Attitudes and Experiences of Staff and Patients in England. Ada Hui (UK). In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 9th European Congress on Violence in Clinical Psychiatry. 22–24 October 2015; Copenhagen. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2015. p. 263. "
433,"Coercive measures in cases of actual danger to others? Ethical aspects of the current German debate on coercion in psychiatry. Jakov Gather & Jochen Vollmann (Germany). In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 9th European Congress on Violence in Clinical Psychiatry. 22–24 October 2015; Copenhagen. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2015. p. 265. "
434,"Violence in media and aggressive behavior: the difficulties of establishing a debate. Maria Teresa Ferreira Côrtes (Brazil). In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 9th European Congress on Violence in Clinical Psychiatry. 22–24 October 2015; Copenhagen. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2015. p. 267. "
435,"Coercive measures in the treatment of drug-dependent patients. Katrin Forstner / Mareike Wakolbinger / Karin Bruckmüller. In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 9th European Congress on Violence in Clinical Psychiatry. 22–24 October 2015; Copenhagen. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2015. p. 268. "
436,"Workplace Violence (WPV) – the Emergence and Jurisdiction of a Social Problem. Sofia Wikman (Sweden). In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 9th European Congress on Violence in Clinical Psychiatry. 22–24 October 2015; Copenhagen. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2015. p. 273. "
437,"Seclusion Use. Isabelle Jarrin & Marie Edwards (Canada). In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 9th European Congress on Violence in Clinical Psychiatry. 22–24 October 2015; Copenhagen. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2015. p. 275. "
438,"Legislation and coercive methods in Psychiatric Clinic in Romania – a five years follow-up study. Adriana Mihai, Paula Sarmasan, Alex Mihai, Elle Tifrea, Katalin Birtalan & Emese. In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 9th European Congress on Violence in Clinical Psychiatry. 22–24 October 2015; Copenhagen. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2015. p. 277. "
439,"Judicial reactions on violence in clinical psychiatry. J.M. (Joke) Harte a b & M.E. (Mirjam) van Leeuwen c a The Netherlands Institute for the Study of Crime and Law Enforcement (NSCR),. In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 9th European Congress on Violence in Clinical Psychiatry. 22–24 October 2015; Copenhagen. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2015. p. 278. "
440,"Professional and Ethical Dilemmas. Suzana Roitman & Ronit Kigli (Israel). In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 9th European Congress on Violence in Clinical Psychiatry. 22–24 October 2015; Copenhagen. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2015. p. 282. "
441,"How violence is imagined in psychiatry: a philosophicalper-spective on violence andtrauma. Daniel Nicholls, School of Nursing & Midwifery, University of Western Sydney, Australia. In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 9th European Congress on Violence in Clinical Psychiatry. 22–24 October 2015; Copenhagen. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2015. p. 283. "
442,"Treatment Outcome Studies. Pål Grøndahl, Cato Grønnerød & Jarna Soilevuo Grønnerød (Norway). In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 9th European Congress on Violence in Clinical Psychiatry. 22–24 October 2015; Copenhagen. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2015. p. 287. "
443,"The compulsory notification of violence against women in Brazilian public policies and academic production. Mariana Pedrosa de Medeiros & Valeska Zanello (Brazil). In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 9th European Congress on Violence in Clinical Psychiatry. 22–24 October 2015; Copenhagen. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2015. p. 288. "
444,"Impact of context on attributions of rape victim culpability: Are online dating victims blamed more?. Graham Tyson, Melanie Lucas, Paola Castillo (Australia). In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 9th European Congress on Violence in Clinical Psychiatry. 22–24 October 2015; Copenhagen. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2015. p. 292. "
445,"Revenge and forgiveness after victimization: Differences between violent offenders and male students from various educational settings. Coby Gerlsma (Netherlands). In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 9th European Congress on Violence in Clinical Psychiatry. 22–24 October 2015; Copenhagen. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2015. p. 293. "
446,"Forensic Assertive Community Treatment (ForACT): an essential integrated cooperation with key-partners (illustrated by ForACT The movie). Diana Polhuis, Rene Mooij, Harry van Putten & Jaap Keijzer (Netherlands). In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 9th European Congress on Violence in Clinical Psychiatry. 22–24 October 2015; Copenhagen. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2015. p. 295. "
447,"Dissociation and Violence-Fools Venture Where Angels Fear To Tread. Julian Gojer, Adam Ellis & Monik Kalla (Canada). In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 9th European Congress on Violence in Clinical Psychiatry. 22–24 October 2015; Copenhagen. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2015. p. 298. "
448,"The role of (forensic mental health) nurses and group workers in the reduction of violence and aggression. Petra Schaftenaar (Netherlands). In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 9th European Congress on Violence in Clinical Psychiatry. 22–24 October 2015; Copenhagen. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2015. p. 299. "
449,"Toxicology in Suicides and Homicide-Suicides. Carrie Carretta, Ann Burgess & Michael Welner (USA). In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 9th European Congress on Violence in Clinical Psychiatry. 22–24 October 2015; Copenhagen. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2015. p. 300. "
450,"Risk management and reduce of recidivism through relational care in a forensic psychiatric hospital. Petra Schaftenaar & Ivo van Outheusden (Netherlands). In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 9th European Congress on Violence in Clinical Psychiatry. 22–24 October 2015; Copenhagen. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2015. p. 301. "
451,"Development of the therapeutic relationship in music therapy with forensic psychiatric inpatients – a mixed method case study. Britta Frederiksen (Denmark). In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 9th European Congress on Violence in Clinical Psychiatry. 22–24 October 2015; Copenhagen. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2015. p. 302. "
452,"ADHD & delinquency: double trouble?. Rosalind van der Lem & Marijn DuPrie (Netherlands). In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 9th European Congress on Violence in Clinical Psychiatry. 22–24 October 2015; Copenhagen. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2015. p. 304. "
453,"Change management in juvenile forensic psychiatry aiming at the prevention of violence and the improvement of treatment outcome. Michael Bruenger (Germany). In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 9th European Congress on Violence in Clinical Psychiatry. 22–24 October 2015; Copenhagen. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2015. p. 306. "
454,"Extensive Hostile Interpretation Bias Regarding Emotional Facial Expressions among Forensic Psychiatric Outpatients. Danique Smeijers, Mike Rinck, Erik Bulten, and Robbert-Jan Verkes (Netherlands). In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 9th European Congress on Violence in Clinical Psychiatry. 22–24 October 2015; Copenhagen. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2015. p. 308. "
455,"The Early Recognition Method used to identify precursors of aggression in prisoner. Frans Fluttert, Gunnar Eidhammer, Christine Friestad, Kari Yngvar Dale, Stål Bjørkly &. In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 9th European Congress on Violence in Clinical Psychiatry. 22–24 October 2015; Copenhagen. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2015. p. 313. "
456,"Is fire-setting performed in adolescence associated with future diagnoses of schizophrenia/schizoaffective disorder?. Annika Thomson, Jari Tiihonen, Jouko Miettunen, Matti Virkkunen & Nina Lindberg. In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 9th European Congress on Violence in Clinical Psychiatry. 22–24 October 2015; Copenhagen. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2015. p. 315. "
457,"The Forensic Patient in the Psychiatric Hospital – Dealing with Patient Violence during Court Ordered Examination in a Psychiatric Department. Ronit Kigli, Hilik Levkovich, Avigdor Mizrachi & Moshe Kotler (Israel). In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 9th European Congress on Violence in Clinical Psychiatry. 22–24 October 2015; Copenhagen. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2015. p. 317. "
458,"Violence against psychiatric inpatients in forensic psychiatric hospital setting. Mari Leskinen, Anssi Kuosmanen & Hannele Turunen (Finland. In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 9th European Congress on Violence in Clinical Psychiatry. 22–24 October 2015; Copenhagen. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2015. p. 319. "
459,"Meeting the sexual identity needs of people with intellectual disabilities: could this have a role in managing aggression?. Liz Tallentire, Trainee Clinical Psychologist, Lancaster University Doctorate in Clinical. In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 9th European Congress on Violence in Clinical Psychiatry. 22–24 October 2015; Copenhagen. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2015. p. 324. "
460,"Characteristics of aggressive behavior in people with intellectual disabilities and co-occurring psychopathology. Kim van den Bogaard, Henk Nijman & Petri Embregts (Netherlands). In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 9th European Congress on Violence in Clinical Psychiatry. 22–24 October 2015; Copenhagen. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2015. p. 327. "
461,"Ado-lescent Intensive Care (EVA). Janne Virta (Finland). In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 9th European Congress on Violence in Clinical Psychiatry. 22–24 October 2015; Copenhagen. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2015. p. 331. "
462,"Healthcare support network to families involved in domestic violence against children and adolescents in Brazil. Diene Monique Carlos, Maria das Graças Bomfim Carvalho Ferriani,. In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 9th European Congress on Violence in Clinical Psychiatry. 22–24 October 2015; Copenhagen. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2015. p. 333. "
463,"Klingenmuenster, Germany. Michael Bruenger (Germany). In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 9th European Congress on Violence in Clinical Psychiatry. 22–24 October 2015; Copenhagen. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2015. p. 337. "
464,"The relationship between media violence exposure and aggressive behavior of children and adolescents. Maria Teresa Ferreira Côrtes (Brazil). In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 9th European Congress on Violence in Clinical Psychiatry. 22–24 October 2015; Copenhagen. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2015. p. 338. "
465,"Psycho-pathology of victims and bullies in school violence. Sun Mi Cho, Yun Mi Shin, Eun Ha Jung (Korea). In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 9th European Congress on Violence in Clinical Psychiatry. 22–24 October 2015; Copenhagen. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2015. p. 339. "
466,"Associations among parental education, inhibitory control and aggressive behavior in children. Maria Gutierrez-Cobo, Rosario Cabello & Pablo Fernandez-Berrocal (Spain). In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 9th European Congress on Violence in Clinical Psychiatry. 22–24 October 2015; Copenhagen. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2015. p. 340. "
467,"Different clinical courses of children exposed to a single incident of psychological trauma: a 30-month prospective follow-up study. Bung Nyun Kim & Soon-Beom Hong (South Korea). In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 9th European Congress on Violence in Clinical Psychiatry. 22–24 October 2015; Copenhagen. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2015. p. 341. "
468,"Prevalence of violence and health personnel’s experience with violence from elderly residents in nursing homes. Rita Helme (Norway). In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 9th European Congress on Violence in Clinical Psychiatry. 22–24 October 2015; Copenhagen. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2015. p. 342. "
469,"Effective Interactions. Jan Boogaarts & Bas van Raaij (Netherlands). In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 9th European Congress on Violence in Clinical Psychiatry. 22–24 October 2015; Copenhagen. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2015. p. 344. "
470,"Therapeutic communication provided by nurses in general hospital – common or rare?. Marie Treslova & Jaroslav Pekara (Czech Republic). In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 9th European Congress on Violence in Clinical Psychiatry. 22–24 October 2015; Copenhagen. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2015. p. 346. "
471,"Communication Skills Training for Healthcare Workers as a technique to reduce patient perpetrated violence – A Randomized Controlled Trial. Maria Baby, Nicola Swain & Chris Gale (New Zealand). In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 9th European Congress on Violence in Clinical Psychiatry. 22–24 October 2015; Copenhagen. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2015. p. 349. "
472,"Using the Rock & Water method in the treatment of forensic psychiatric patients and in educating staff. Erik Timmerman & Ernst Janzen (Netherlands). In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 9th European Congress on Violence in Clinical Psychiatry. 22–24 October 2015; Copenhagen. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2015. p. 355. "
473,"Maintenance of the staff’s conflict preventive competencies. Line Juul Christensen & Nethe Plenge (Denmark). In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 9th European Congress on Violence in Clinical Psychiatry. 22–24 October 2015; Copenhagen. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2015. p. 359. "
474,"Can physical activities reduce the use of coercive measures?. Anne Naested & Lene Lauge Berring (Denmark). In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 9th European Congress on Violence in Clinical Psychiatry. 22–24 October 2015; Copenhagen. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2015. p. 361. "
475,"Sex and violence: a topic for all medical and health care professionals. Heidi Siller, Women’s Health Centre, Medical University of Innsbruck, Austria. In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 9th European Congress on Violence in Clinical Psychiatry. 22–24 October 2015; Copenhagen. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2015. p. 363. "
476,"Emergency Medical Service in years 2004 – 2014. Jaroslav Pekara, Zdenĕk Schwarz & Alan Mejstřik (Czech Republic). In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 9th European Congress on Violence in Clinical Psychiatry. 22–24 October 2015; Copenhagen. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2015. p. 367. "
477,"Staff training and violence prevention in coercive care institutions: A newly revised program in Sweden. Caroline Björck, Karl Glifberg, Mikael Malmberg, Carina Moen & Gunilla Nötesjö. In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 9th European Congress on Violence in Clinical Psychiatry. 22–24 October 2015; Copenhagen. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2015. p. 372. "
478,"Work ethics and active communication: The leader on the floor. Baidur Karlsson (Iceland) (member of ENTMA). In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 9th European Congress on Violence in Clinical Psychiatry. 22–24 October 2015; Copenhagen. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2015. p. 377. "
479,"Training staff to manage challenging behavior and violence - does staff safety effect the ability to de-escalate?. Pal-Erik Ruud (Norway)(member of ENTMA). In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 9th European Congress on Violence in Clinical Psychiatry. 22–24 October 2015; Copenhagen. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2015. p. 378. "
480,"A Model of continuous professional development for instructors in the management of aggression & violence. Donal Mc Cormack & Kevin McKenna (Ireland)(members of ENTMA). In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 9th European Congress on Violence in Clinical Psychiatry. 22–24 October 2015; Copenhagen. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2015. p. 380. "
481,"Developing the Role of Clinical Nurse Educator for Behavioral Health. Timothy Meeks (USA). In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 9th European Congress on Violence in Clinical Psychiatry. 22–24 October 2015; Copenhagen. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2015. p. 383. "
482,"How to train ourselves to assess the risk of violence ?. Anthony Djurkov (New Zealand). In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 9th European Congress on Violence in Clinical Psychiatry. 22–24 October 2015; Copenhagen. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2015. p. 387. "
483,"A multicenter evaluation study.. Joanne Skellern, Tibor Ivanka & Marie Treslova (UK). In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 9th European Congress on Violence in Clinical Psychiatry. 22–24 October 2015; Copenhagen. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2015. p. 388. "
484,"How we train staff to avoid violence in forensic milieu therapeutic environments. Thor Egil Holtskog (Norway). In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 9th European Congress on Violence in Clinical Psychiatry. 22–24 October 2015; Copenhagen. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2015. p. 390. "
485,"SIMBA – a staff education and training programme in forensic milieutherapeutic environments. Mr Thor Egil Holtskog (Norway). In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 9th European Congress on Violence in Clinical Psychiatry. 22–24 October 2015; Copenhagen. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2015. p. 394. "
486,"Education Experiment: Short Time Education – Long Time Results for PracticePaper. Jaroslav Pekara, Marie Trešlová, Lidmila Hamplová. In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 9th European Congress on Violence in Clinical Psychiatry. 22–24 October 2015; Copenhagen. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2015. p. 396. "
487,"Self-Efficacy in Clinical Training. N. Aasdal & T. Wøbbe (Denmark). In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 9th European Congress on Violence in Clinical Psychiatry. 22–24 October 2015; Copenhagen. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2015. p. 400. "
488,"Professional Commitment and Intent-to-Leave: A moderated effect of violence prevention climate. Yuan-Ping Chang & Hsiu-Hung Wang (Taiwan). In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 9th European Congress on Violence in Clinical Psychiatry. 22–24 October 2015; Copenhagen. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2015. p. 402. "
489,"Violence and Mental Illness from an US Perspective. Murali Rao (USA). In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 9th European Congress on Violence in Clinical Psychiatry. 22–24 October 2015; Copenhagen. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2015. p. 404. "
